"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TI_SO-PowerPAD-8_ThermalVias";1;"TPS5430DDA";;;
2;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7u";;;
3;"J2,J1";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";2;"Conn_01x02";;;
4;"J3,J5,J4";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
5;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
6;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.01u";;;
7;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"17.1k";;;
8;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.8k";;;
9;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"8.2k";;;
10;"C3";"CP_Elec_6.3x5.9";1;"220u";;;
11;"TP3,TP1";"TestPoint_THTPad_2.5x2.5mm_Drill1.2mm";2;"TestPoint";;;
12;"H3,H2,H1,H4";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
13;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"21.5k";;;
14;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
15;"L1";"L_Wuerth_WE-PD-Typ-LS_Handsoldering";1;"15u";;;
16;"D1";"D_SMC";1;"B340";;;
